user,hike_id
peter86,corna lunga 1273 m sparavera 1369 m monte grione 1381 m anello da sovere_45.82_9.99
paoloski,ravanage in valmaggina_46.16_9.08
QuerJAG,f hnerenspitz 1506m vom rheintal ber s eggli_47.33_9.5
MichaelG,blaues t rmchen und hemsberg_49.67_8.64
Poge,monte faudo monte arbozzaro_43.91_7.91
maawaa,wasserfallsteig bad urach zum zweiten_48.49_9.37
Roald,fuorcla digls tellers piz colm ski tour_46.57_9.65
igor,cima di lago 2833m_46.49_8.53
cristina,rifugio chivasso al colle del nivolet 2604 m_45.47_7.15
Curi,frankenwald links und rechts der zeyern oder radspitze und geuserberg_50.25_11.44
cai56,sentiero del viandante il nuovo tratto delebio piantedo_46.13_9.44
Bombo,fl scher berg integral_47.04_9.5
cristina,pasqua a portofino_44.32_9.18
cristina,traversata asso como_45.84_9.18
igor,tris di cime cucchetto 1571m cima p1617m pizzo di corgella 1707m_46.16_9.01
Giaco,corno di canzo occidentale ferrata del venticinquennale_45.86_9.31
Menek,una pasqua in paradiso val bertone_45.63_10.32
Poge,cima sam schmelzer kreuz_46.67_11.35
siso,capanna bovarina 1870 m_46.56_8.91
cappef,giro dei tre santi 1203 m_45.93_8.72
hikemania,sierra de orihuela ber den paso del gato_38.1_-0.97
gbal,la via francisca al lucomagno tappe 3 4 e 5 mtb_45.74_8.84
Roald,stelli snowshoe hike from st margrethenberg_46.95_9.5
Menek,m zingla e rif campei de sima pasquetta ancora sui monti_45.69_10.53
paoloski,sei cime in val veddasca_46.09_8.79
atal,crop dal bog valle antigorio_46.19_8.33
ser59,timogno e benfit dagli spiazzi di gromo_45.96_9.98
viciox,toroi 2164 mt anello del toroi_46.54_8.81
Riosambesi,pic de courmettes 1248 m_43.72_7.04
Giaco,monte derta linea cadorna_45.92_8.89
ser59,monte madonnino da carona_46.02_9.84
rkroebl,reussuferweg von bremgarten ag nach melligen ag_47.39_8.31
QuerJAG,gopfberg 1316m und schrofenweg bei bezau_47.37_9.91
QuerJAG,pf nder 1012m felsbandweg und dachssteig bei der maldona wiese_47.5_9.77
numbers,alpe lendine anello winter wild snow_46.34_9.34
froloccone,vagando per boschi_45.94_8.73
cappef,la crocetta 1117 m_45.92_8.66
cristina,un bianco monte carone 1621 m_45.83_10.8
QuerJAG,naturschutzgebiet bei oberklien schloss glopper und ruine alt ems_47.37_9.71
Riosambesi,le suillet 1324 m_44.32_5.7
milan,la palma s nordk ste barranco de la magdalena bis el tablado_28.83_-17.89
Menek,pizzo cornacchia la valle trompia e la fenomenologia di un popolo_45.65_10.18
paoloski,chiusarella versante valgannese e martica_45.87_8.82
Menek,un insolita coppia maddalena dragoncello_45.56_10.3
igor,tentativo pizzo rotondo quota 2791m_46.5_8.47
rkroebl,reussuferweg von rotkreuz zg nach ottenbach zh_47.21_8.41
83_Stefan,rotspitz 2033 m hohe g nge ber dem h blesgund_47.47_10.38
ser59,m resegone da brumano_45.86_9.49
Simone86,cornizzolo 1 266m anello da pozzo civate_45.83_9.32
Simone86,cima di piazzo 2057m e sodadura 2010m invernale_45.94_9.52
CampoTencia,durchs farenbachtobel auf den schauenberg_47.47_8.87
maawaa,n49e09 baiselsberg 477m eselsberg 392m_49_9
QuerJAG,alte bregenzerwaldbahn trasse_47.49_9.79
peter86,forcella dei corni 1298 m_45.86_9.31
peter86,zucco manavello 1120 m_45.92_9.34
gbal,la via francisca al lucomagno 2 tappa mtb_45.87_8.81
Menek,monte bronzone e sentieri inesplorati_45.71_9.97
QuerJAG,bregenzer ach 440m unterhalb von buch 720m_47.49_9.82
CampoTencia,eis am hutziker bach_47.45_8.86
Nitt Gashi,der korab in winter 2764m_41.8_20.52
ser59,monte guglielmo da pezzoro_45.76_10.19
ser59,chignolo d arale e m menna_45.92_9.76
cappef,morissolino 1410m morissolo 1311m_46.02_8.64
Riosambesi,sommet du broc 892 m_43.8_7.16
atal,alpe camugher e pizzo castello valle anzasca_46.03_8.23
Poge,monte san giorgio monte casolo monte grumello pravello poncione d arzo monte orsa_45.9_8.92
paoloski,monte val de corni monte piambello_45.91_8.84
igor,alpe foppa 1530 metri_46.13_8.9
igor,pizzo ruscada 2004m_46.17_8.6
Giaco,monte pian nave linea cadorna_45.95_8.72
cai56,casera pioda trail running_46.25_9.66
cristina,ancora corni e compagni_45.85_9.31
cristina,monte colmegnone 1383 m e monte bisbino 1325 m_45.87_9.08
maawaa,galgenb hl 563m gr tlewald 692m n48e08_47.99_7.99
QuerJAG,kapf 1153m von schwefel via fallenkobel_47.34_9.69
SCM,green halb marathon z rich_47.37_8.56
83_Stefan,branderschrofen 1881 m ein abend am tegelberg_47.57_10.78
NrcSlv,palanzone anello da caglio_45.87_9.22
Menek,santi e santelle aiutano a eliminare il colesterolo valle del garza_45.6_10.26
cai56,bagni del masino trail running_46.24_9.61
cristina,un sentierun per il cornizzolo e_45.85_9.31
cristina,qualche chiacchiera e qualche foto nel solito posto_45.99_9.47
siso,alpe barcelona 1170 m_45.87_9.05
Riosambesi,cascades du h risson_46.61_5.87
ser59,pizzo arera da la plassa_45.92_9.8
Poge,monte astele e pizzo tre termini_45.85_9.13
CampoTencia,eiszapfentour durchs hundsch pflitobel_47.25_8.95
GIBI,monte san giorgio poncione d arzo monte orsa_45.89_8.93
Nitt Gashi,der winter von kobilica 2528m_42.12_20.88
Menek,pizzi e lazzi intorno al coren_45.83_9.96
GIBI,sasso giallo sass tavarac croce pessina monte puscio e un palanzone tra le nebbie_45.84_9.2
NrcSlv,giro del monte monaco_38.16_12.75
ser59,foppolo corno stella_46.05_9.78
viciox,monte gradiccioli 1936 m cresta est invernale_46.07_8.88
Nitt Gashi,der pashtrik 1989m zum 10 j hrigen unabh ngigkeitstag des kosovo_42.2_20.54
Nitt Gashi,der luboten in winter 2498m_42.22_21.15
cristina,palanzone 1436 m doss dell asen 1272 m e bolettone 1317 m_45.85_9.23
NrcSlv,collina di sartirana anello breve_45.71_9.44
paoloski,torno chiese avelli e massi erratici_45.85_9.13
Menek,rif croce di marone seguendo la forra del torrente re_45.72_10.17
martynred,monte crocione 1641 m_45.99_9.19
Menek,dopo el cas l l ra del tr tap s_45.76_10.09
NrcSlv,riserva dello zingaro anello del monte speziale_38.1_12.78
ser59,tezzi pizzo di petto m vigna vaga_45.99_9.99
SCM,wandern im skaftafell nationalpark_64.02_-16.95
SCM,winter wanderung auf den tuffring hverfjall_65.61_-16.89
ser59,m pedena da madonna delle nevi_46.06_9.64
ser59,pizzo formico e rif parafulmine_45.84_9.92
paoloski,monte legnone monte tre croci_45.86_8.8
SCM,kurze wanderung auf den vesuv_40.82_14.42
SCM,matera eine der ltesten st dte der welt_40.67_16.62
NrcSlv,san genesio anello mondonico campsirago san genesio crocione giovenzana mondonico_45.75_9.4
NrcSlv,monte circeo_41.24_13.04
SCM,grossser mythen_47.02_8.71
Riosambesi,mont vial 1550 m_43.9_7.14
DiAmanditi,sch nwieskopf 1994 m im schneesturm_47.34_12.87
ser59,pizzo cerro castel regina da la vetta di s pellegrino_45.84_9.64
Stijn,monte br monte boglia gandria_46.02_8.98
cristina,grigna settentrionale 2410 m_45.94_9.41
igor,gridone 2188m_46.12_8.67
ser59,cima di grom da monno_46.24_10.33
CampoTencia,wildnis am stadtrand_47.36_8.58
Riosambesi,mont lion 1049 m_43.86_7.15
froloccone,monte pidaggia 1528 m_46.06_9.17
gbal,la scoperta del monte piambello 2 episodio mtb_45.92_8.84
Riosambesi,amarron 770 m_43.36_6.04
Max,gro e rundtour ber den brend im schwarzwald_48.08_8.18
viciox,croce sant eutichio in mtb_45.8_9.07
ser59,passo branchino da valcanale_45.95_9.82
cristina,dal moregallo 1276 m al prasanto 1235 passando dal corno rat 906 m_45.86_9.34
zar,pizzo meriggio 2350 m_46.12_9.87
NrcSlv,san genesio anello mondonico campsirago san genesio giovenzana mondonico_45.75_9.4
NrcSlv,doi inthanon kew mae pan nature trail_18.56_98.48
paoloski,anello al pizzo della croce_45.93_9.05
martynred,yelling at christmas tree prima assoluta ivan tarabini_45.92_9.39
83_Stefan,j f di miezegnot 2087 m an die freude_46.47_13.46
Ueli,cimetta 1671m cima della trosa 1869m e madone cima sud 2039m e cima nord 2051m_46.21_8.79
maawaa,n rdlingen 441m ringelum_48.85_10.49
Simone86,zucco di sileggio 1 373m sentiero 17b invernale_45.94_9.33
ser59,piz tri da loritto_46.15_10.3
peter86,anello del montorfano 794 m_45.95_8.46
tignoelino,pizzo e todano valle intrasca_46.01_8.55
atal,oraccio e gli alpi ossolani di cimamulera da pallanzeno ossola_46.03_8.25
cai56,la strada del benefattore e il pont secret_46.28_9.35
ser59,m gardena dai fondi_46.03_10.23
gbal,la scoperta del monte piambello 1 episodio_45.92_8.84
viciox,grignetta 2184 m cresta cermenati invernale_45.91_9.39
D!nu,hinteri egg_47.37_7.71
Riosambesi,falaises d amont steilwand der alabasterk ste_49.72_0.23
Gherard,von steinkirchen zur dandelbergalm_47.77_12.18
paoloski,anello al monte bar_46.1_9.02
ser59,cusio m avaro m tribortoi_46.01_9.6
tignoelino,todun pernice anello in valgrande_45.99_8.52
zar,quota 2164 m verso motto rotondo_46.19_9.26
Gherard,sterntaler filze_47.78_12.05
Francesco,gita transfrontaliera monte san giorgio da viggi_45.9_8.93
Gherard,nickelheimer filze_47.79_12.06
Riosambesi,mont f rion 1412 m_43.85_7.26
Poge,il sentiero dei tubi monte portofino monte campana punta chiappa promontorio di portofino_44.33_9.16
atal,filo di nolezzo e colma di cossogno valgrande_45.98_8.5
cristina,dal cornizzolo 1241 m al corno orientale 1232 m passando per_45.84_9.32
cristina,forti di genova traversata genova casella_44.47_8.97
ser59,s simone cima siltri_46.04_9.69
83_Stefan,kreuzkopf 1910 m mit rustikaler berschreitung des ochsen lpeleskopfs_47.53_10.83
Poge,monte puscio monte panigas_45.84_9.21
Menek,una passata veloce sulla punta dell orto_45.67_10.09
Menek,sul monte ario in compagnia di un eolo furioso_45.79_10.31
NrcSlv,nepal langtang kyanjin ri m 4810 from kyanjin gompa_28.22_85.58
NrcSlv,nepal langtang tsergo ri m 4985 from kyanjin gompa_28.21_85.59
cappef,punta di mezzo 1226m_45.86_8.78
ser59,m zucco dalla direttisima di s pellegrino_45.83_9.66
mannvetter,quilotoa ecuador in eigenregie_-0.91_-78.9
paoloski,sasso della gallina_46.07_8.83
Bergfritz,osterwitz rundtour 1143 m_46.84_15.11
Riosambesi,baou des blancs 673 m baou des noires 640 m_43.74_7.11
ser59,carona m chierico rif pedrinelli_46.04_9.8
saimon,camogh 2228 m via cima calescio_46.13_9.03
pame,wadi qelt klassische schluchtenwanderung zw jerusalem und jericho_31.83_35.33
mannvetter,rumi ahui noroccidental ecuador in eigenregie_-0.54_-78.53
paolo aaeabe,alternativa al panettone sul monte costone_45.97_9.14
viciox,foisc 2208 m_46.53_8.65
pame,red canyon und mount neshef 865m_29.68_34.88
Menek,corna zeno o corna alta a denti stretti_45.76_10.45
milan,hohe kugel 1645m raus aus dem nebel_47.35_9.73
paoloski,punta rossotti al tramonto_45.87_8.82
360,pick me up at the negro bar_38.6_-121.39
peter86,monte colmegnone 1383 m anello da carate_45.88_9.11
froloccone,parco del campo dei fiori vecchi sentieri_45.85_8.78
cristina,pizzocolo 1581 m_45.66_10.58
cristina,rifugio grassi 2000 m_45.99_9.47
cristina,punta martin 1001 m_44.45_8.78
cristina,monte beigua 1287 m_44.42_8.54
cai56,cigolino_46.31_9.36
ser59,m barbarossa_46_10.04
cristina,monte cucco 1433 m monte palagia 1549 e monte fop 1092 m_45.97_9.32
cristina,monte san primo 1686 m da vassena_45.92_9.25
cristina,colsanto 2112 m_45.84_11.13
ser59,monte sasna da lizzola_46.02_10.03
cai56,un anello attorno al cornizzolo_45.84_9.3
Menek,sassello canale paghera croce del minatore e lago d idro west coast_45.75_10.47
QuerJAG,baumgarten 1648m von andelsbuch via sattelalpe_47.39_9.91
Sky,cima villa 2040 m_46.04_9.64
Francesco,monte stino 1467 m_45.76_10.54
Nitt Gashi,der oshllak 2212m maja e arnenit 1948m_42.19_20.93
Luidger,fr hling statt winterwunderland am h rnle_47.64_11.05
ser59,monte sodadura da pizzino_45.92_9.55
Luidger,von m laga auf den monte de san ant n_36.73_-4.39
Luidger,caminito del rey_36.92_-4.78
Menek,fuga pomeridiana al parco delle colline_45.58_10.2
83_Stefan,hinteres h rnle 1548 m durch die hintert r von grafenaschau_47.64_11.09
Erwin123,schneeschuhwanderung teichalm sommeralm_47.35_15.51
Francesco,isola di capraia un isola da trekking_43.04_9.82
viciox,monte san primo 1687 m_45.9_9.23
Riosambesi,cap lardier_43.17_6.62
NrcSlv,chiang mai monk trail to doi suthep temple_18.8_98.93
Menek,la notte pi lunga dell anno nella malga pi lunga buon 2018_45.82_9.97
NrcSlv,malta trek_35.91_14.45
Roald,br schstockb gel 1488 m snowshoe hike_47.1_8.93
ser59,due notti al tavecchia_45.99_9.46
Nitt Gashi,der jahresabschlussgipfel maja bistra 2651m_42.16_20.97
D!nu,schnebelhorn_47.33_8.97
peter86,monte san martino 1050 m da rancio_45.87_9.39
peter86,zucco sileggio 1363 m anello da somana_45.94_9.34
Nitt Gashi,der tito vrv in winter 2747m erreichte h he 2325m_42_20.85
ZvB,heilige ross und buchsteinumrundung_47.63_11.69
peter86,traversata dei corni di canzo da gajum_45.86_9.31
peter86,monte cucco 1513 m cimone 1702 m e monte becco 1732 m anello dal santuario di oropa_45.63_8
dropsman,winterliche nachtwanderung auf den brocken_51.79_10.59
Alberto C.,alla chiesetta di san calimero m 1493_45.96_9.43
Menek,24 12 2017 fuck the panettone noi amiamo le creste del grione_45.82_10
QuerJAG,kapf 1153m via rfla schlucht und schreckweg_47.34_9.67
Simone86,monte generoso 1 701m anello da scudellate_45.93_9.03
Riosambesi,colorado proven al gro e rundtour_43.91_5.5
Simone86,magnodeno 1 241m e giumenta anello da erve_45.84_9.46
Menek,sulla punta almana con la sdraio e l ombrellone_45.71_10.17
Riosambesi,monn rouye 1755m_42.95_0.32
maawaa,gschasikopf 1046m_48.17_8.1
ser59,torcole_45.99_9.71
ser59,altopiano di asiago monti baldo cimon ongara_45.92_11.55
Poge,monte zucco pizzo cerro castel regina monte foldone monte sornadello pizzo grande_45.84_9.64
cristina,monte megna 1050 m_45.9_9.29
cristina,dorsale boletto 1236 m palanzone 1436 m_45.83_9.17
Riosambesi,sommet des grosses grues 440 m et petites grues 413 m_43.49_6.92
360,phipps peak a nice snowshoe hike roundtrip from emerald bay_38.94_-120.13
viciox,monte bar 1810 m_46.1_9.01
Menek,possibile ci sia del selz in val di cul_45.9_10.24
cicindela,binn leuk 9 9 cabane bella tola illhorn leuk_46.27_7.63
paolo aaeabe,un pasquella a due stagioni_45.95_9.12
cristina,grignetta 2184 m da lecco_45.89_9.39
cristina,cima di piazzo 2057 m e sodadura 2010 m_45.94_9.52
cristina,22 anni al resegone_45.83_9.46
cristina,monte ubione 896 m e monte linzone 1392 m_45.77_9.57
Menek,vento foglie neve ma niente olezzo poi ecco il monte torrezzo 1378 mt_45.77_9.98
83_Stefan,teufelst ttkopf 1758 m letztes licht am klammspitzkamm_47.6_11
Poge,monte bronzone punta alta_45.7_10.01
Max64,pizzo tracciora e massa dei ratei valsesia_45.85_8.13
ser59,ferrante da spinelli_45.95_10.01
Alberto C.,monte palanzone m 1436 dalla colma di sormano_45.87_9.21
Max64,anello al monte boglia_46.02_9
Alberto C.,il sentiero del viandante tratto da regolo a dervio_46.05_9.3
Francesco,anello azzurro e green way due laghi per un weekend tranquillo e al caldo_45.78_8.41
cristina,colmegnone 1383 m e sasso gordona 1410 m_45.89_9.1
cristina,monte ocone 1363 m e monte tesoro 1431 m_45.8_9.48
atal,stra di guardie valli dell ogliana_46.07_8.32
Poge,monte podona corna di filaressa canto alto dintorni_45.77_9.71
Menek,rifugio e monte stino un usato sicuro_45.76_10.54
tignoelino,corte bu esplorando in valgrande_45.99_8.46
360,sun rock stopgap in the desolation wilderness_38.93_-120.32
Poge,rocca d argimonia e la sua dorsale_45.67_8.13
giorgio59m,ultima ravanata 2017 val lodrino riviera_46.29_8.97
maawaa,4 1 2 gipfeli wanderung bei lenzburg 405m_47.38_8.19
Marcel und Desiree,piz d emmat dadaint 2927m und unz hlige seen_46.46_9.71
cappef,lago toggia 2200 m_46.43_8.42
Poge,punta martin cresta federici_44.45_8.78
cristina,capanna bovarina 1870 m_46.56_8.91
cristina,magnodeno 1241 m e corna camozzera 1452 m_45.83_9.45
Francesco,bric del dente 1107 m e altro_44.49_8.69
Menek,besameee besume muchooooo_45.68_10.44
ZvB,aufackern statt abrackern_47.61_11.1
cappef,alpe cortenero 2036 m_45.98_8.05
Poge,cima di monte cucco monte palagia cima di eghen_45.97_9.32
Sky,verso il pizzo cor i_46.59_8.94
Giaco,forte di bara linea cadorna_45.97_8.4
Giaco,monte camoscio ferrata picasass_45.91_8.48
paoloski,escursione pomeridiana fra valganna e valceresio_45.89_8.85
Nitt Gashi,maja guri i kuq der rote stein 2522m_42.68_20.13
ser59,madonnino e reseda da carona_46.02_9.84
Riosambesi,petit croisse baulet 2009m_45.88_6.54
ser59,ornica tre signori_46_9.55
cappef,monte zuccaro 1683 m_46.09_8.63
LIMPLINK,vom simmental ber den gantrisch ins stockental_46.68_7.49
Gabri,ciarm del prete 2390 m e anello dei laghi bella val vi_45.26_7.31
paolo aaeabe,antica via regina da gravedona a sorico e ritorno per la ciclopedonale_46.16_9.35
Riosambesi,pointe de la limace 1836 m_45.66_6.2
QuerJAG,hirschberg 1095m und ochsenkau_47.53_9.82
Poge,da sestri levante a monterosso in traversata e un paio di cimette_44.21_9.52
cristina,p zo grande 1574 m sornadello 1580 m foldone 1497 m e molinasco 1177 m_45.85_9.63
Menek,sulla cima bal qualcuno si sente reamol_45.85_10.81
paoloski,wild chiusarella_45.86_8.81
giorgio59m,esplorando la valle di lodrino e drosina_46.28_8.95
Francesco,monte san primo 1686 m e montarozzi attorno_45.9_9.23
igor,monte boglia 1516m segret way_46.01_8.98
CampoTencia,im und ber dem hochnebel zur chr zegg_47.3_9.02
Giaco,monte pravello linea cadorna_45.88_8.91
Riosambesi,mourre n gre 1125 h chster punkt des grand luberon_43.83_5.46
paoloski,corona dei pinci e pizzo leone_46.15_8.71
Menek,alla foppa del mercato il diavolo veste prada_45.83_10.29
Marcel und Desiree,piz terza 2909m ber fuorcla starlex_46.64_10.38
beppe,monte colmegnone da carate urio_45.88_9.12
schalb,l tschberg s drampe suonen und f rricha_46.33_7.78
Sky,mont gond 2670 m_46.13_7.3
peter86,pizzo del mezzod 2383 e sentiero dei laghi val bognanco_46.17_8.21
Simone86,madone di mergoscia 2 051m ad anello_46.22_8.82
siso,capanna zemblasca 1809 m ciaspolata_46.5_8.67
Max64,monte faierone punta fronzina monte giove_46.09_8.67
Sky,mont buet 3096 m_46.01_6.88
martynred,quasi mont avic 3006 m_45.68_7.59
Linard03,mulhac n 3479m_37.07_-3.35
cristina,dal monte bano all alpesisa una lunga serie di panarozzi_44.47_9.05
cristina,monte carmo 1389 m il nostro corno ligure_44.15_8.2
frmat,4000er im hohen atlas vol 2_31.1_-7.93
Sky,grand mont calme 3205 m_46.07_7.38
Poge,cima di camplano cima di leten_45.9_9.85
Sky,hockenhorn 3293 m_46.41_7.75
Francesco,forti di genova da piani fregoso_44.45_8.93
Francesco,sentiero ermanno fossati_44.19_8.33
beppe,lierna bellano sentiero alto del viandante_46_9.3
