hike1,hike2,similarity
60 e non sentirli al rifugio san lucio_46.1_9.08,drei tage im tessin giubiasco mendrisio_46.13_8.99,0.7849717565105334
60 e non sentirli al rifugio san lucio_46.1_9.08,anche noi al camoghe 2228m_46.11_9.06,0.7762924351456099
60 e non sentirli al rifugio san lucio_46.1_9.08,rifugio croce di campo 1740 m_46.11_9.14,0.7533678274343045
60 e non sentirli al rifugio san lucio_46.1_9.08,nebelmeer abendrot tessinersonne grenzschl ngeln im val colla_46.04_9.02,0.7244361686978554
7 eggen h henweg_47.41_9.4,verf hntes mittags flanieren ber 1001 eggen im ausserrhodischen_47.4_9.41,0.8228378983041829
90 zeiritzkampel 2125 m und 100 achnerkuchel 1824 m_47.48_14.75,lugauer_47.55_14.73,0.7566925190844758
a cavallo della giumenta_45.83_9.45,un imbucato alla giumenta_45.83_9.45,0.8417503792108944
a cavallo della giumenta_45.83_9.45,dal passo del cammello al passo del lupo_45.88_9.44,0.7790721883390542
a cavallo della giumenta_45.83_9.45,m resegone da brumano_45.86_9.49,0.7214166697283528
a latere dell alp de volt tremezzo e crocione_46.01_9.17,passeggiata tra nobiallo e san siro lario_46.05_9.25,0.708521928673072
a mesd sul piz mezd 2 992m_46.48_9.85,las sours cima w 2979 m e anello della chamanna segantini da pontresina_46.5_9.91,0.7436809297435416
a nave c del porno_45.61_10.29,ok il monte conche ma doppo_45.63_10.3,0.8846383520119113
a nave c del porno_45.61_10.29,in cima alla corna di caspai ma la ferrata prrrrrrrrrrrr_45.72_10.28,0.7778910362117741
a nave c del porno_45.61_10.29,m ucia corna de ca e poi il senter bandit giro pomeridiano cos superiamo gibi_45.6_10.35,0.7100955057575205
a picco sull oceano punta de gayo_29.17_-13.51,la corona_29.19_-13.49,0.8118927751651848
a saute bisses entre val d h rens et val de nendaz trailrun_46.19_7.36,boucle des 3 bisses entre val d h rens et val de nendaz trailrun_46.19_7.36,0.8228231937799202
a spasso sopra schilpario_46.03_10.17,cima di cornalta tornello tornone rif tagliaferri_46.03_10.12,0.7682992953331844
a tutto c un limite monte armelio appennino piacentino_44.79_9.47,monte armelio_44.8_9.47,0.7300518256455991
a volte ritornano giro alto attorno ai laghi di chi ra_46.52_8.77,piz rondadura 3 016m_46.57_8.78,0.7638674272716015
a volte ritornano i tre pizzi_45.97_9.79,tre pizzi presi in giro_45.97_9.79,0.8478665795637279
a zonzo sopra il lago di pescegallo_46.04_9.58,monti cimetto verrobbio nebbia ponteranica or colombarolo_46.04_9.61,0.7506579424883183
a zonzo sopra il lago di pescegallo_46.04_9.58,semplicemente corna grande no anche rifugio lecco_45.97_9.51,0.7376730218092807
a zonzo sopra il lago di pescegallo_46.04_9.58,zucco barbesino 2152 m e corna grande 2090 m dai piani di bobbio_45.96_9.5,0.7317886881609058
a zonzo sopra il lago di pescegallo_46.04_9.58,finalmente il pegherolo_46.03_9.7,0.7102685385846021
a zonzo sopra il lago di pescegallo_46.04_9.58,un bivacco con tre pizzi e una pietra quadra l avete mai visto_45.97_9.79,0.7048102697482584
abwechslungsreiche tour zur rappenspitze und zum lunstkopf_47.41_11.64,sonnjoch mit schattenseiten_47.41_11.61,0.7715004936561167
abwechslungsreiche tour zur rappenspitze und zum lunstkopf_47.41_11.64,ruederkarspitze und oberer rosskopf ber den kurzen sw grat_47.43_11.56,0.7459593029497804
abwegig an girenspitz chammhalde unterwegs_47.25_9.33,chammhalde ohne h enerberg_47.25_9.33,0.7526338027408703
abwegig an girenspitz chammhalde unterwegs_47.25_9.33,gloggeren via nadle zur marwees_47.27_9.42,0.7033785402985249
accesso al rifugio marco balicco m 1965 dalla fraccia valle brembana_46.05_9.65,bivacco gusmeroli m 1881_46.11_9.69,0.7938826658163778
adamello 3554 m via terzulli_46.14_10.45,monte adamello_46.14_10.45,0.8182437727901977
adler horst via panoramaweg e waldweg_47.49_10.59,rauth_47.47_10.62,0.7641181437507364
adlerspitzli 1455m inkl ruchband_47.03_8.68,haggenspitz 1761m chli mythen 1811m berschreitung_47.04_8.69,0.93099255507082
adlerspitzli 1455m inkl ruchband_47.03_8.68,haggenspitz 1761m kleiner mythen 1811m_47.04_8.69,0.760890140879078
adlerspitzli 1455m inkl ruchband_47.03_8.68,grosser mythen via chr zplangg und chalberst ckli_47.04_8.69,0.7043997914521906
adonis bl te ifil wasserleitu und wolfspfad_46.3_7.75,sylvester wanderung auf den sonnenh ngen ber dem rotten_46.32_7.71,0.762015843269034
adula rheinwaldhorn via malvaglia_46.48_9.03,rheinwaldhorn adula 3 402 m cresta wsw via malvaglia ticino s queen_46.48_9.03,0.8168037731275187
adula rheinwaldhorn via malvaglia_46.48_9.03,rheinwaldhorn adula la regina ticinese 3402 m via val malvaglia ad anello_46.48_9.03,0.7964909949135471
adventswanderung eggerberg birgisch sonne wolken schnee_46.31_7.92,im gsponer herbst m rchenwald_46.22_7.91,0.7545086516553202
adventswanderung eggerberg birgisch sonne wolken schnee_46.31_7.92,letztes l rchengold und erster schneekontakt_46.31_7.91,0.7119947734845236
ageteplatte_47.27_9.4,l cken tour im alpstein_47.27_9.45,0.7880517132693858
ageteplatte_47.27_9.4,alp sigel_47.28_9.46,0.7192869738062144
aggenstein 1985m von gr n lumberg am 2 weihnachtsfeiertag_47.53_10.56,lumberger grat_47.51_10.58,0.8035299656185415
aggenstein 1985m von gr n lumberg am 2 weihnachtsfeiertag_47.53_10.56,vilser kegel 1843 m unterwegs am hundsarschjoch_47.54_10.62,0.72802069468545
ahornen rundtour_47.09_8.99,krokusmeer am gulme_47.16_9.17,0.721414729423409
aiarlo di dentro 1484 m e c sta di p pa 1524 m_46.25_8.72,vigilia di natale al pizzo salmone_46.2_8.72,0.8457599992269826
aiguilles de la l p3178_46.1_7.59,garde de bordon 3310 m_46.11_7.59,0.7220645326451626
aiguilles de la l p3178_46.1_7.59,s dost gipfel roc de la vache 2626m ber den pas du chasseur_46.12_7.64,0.7041275600105564
aiplspitz mit hei enplatte und kleinmiesing_47.68_11.94,breitenstein bockstein und der mysteri se r hrk bel_47.72_11.98,0.7099216034462439
aiplspitz mit hei enplatte und kleinmiesing_47.68_11.94,rund um die soinwand_47.71_12.05,0.7031911359715721
al forte di orino dalla dorsale nord campo dei fiori_45.88_8.73,cresta colombo e poncione di ganna_45.88_8.85,0.7598540177387867
al forte di orino sotto la neve_45.88_8.73,punta di mezzo via nord campo dei fiori_45.88_8.76,0.8161255990148589
al forte di orino sotto la neve_45.88_8.73,season opening cresta colombo direttissima nno al poncione valganna m minisfreddo m s bernardo_45.88_8.85,0.7136840083431307
al monte chiusarella con kik_45.86_8.82,wild chiusarella_45.86_8.81,0.9087283827353089
al monte chiusarella con kik_45.86_8.82,chiusarella cresta sud ovest_45.86_8.81,0.8839686981250354
al monte chiusarella con kik_45.86_8.82,monte val de corni monte piambello_45.91_8.84,0.8373161131347189
al monte chiusarella con kik_45.86_8.82,escursione pomeridiana fra valganna e valceresio_45.89_8.85,0.8008932220097664
al monte chiusarella con kik_45.86_8.82,alpe la grassa 1028 m_45.89_9.01,0.7261350438971177
al monte chiusarella con kik_45.86_8.82,una martica splendente_45.88_8.83,0.7201090348391322
al monte gradiccioli per l infinita cresta est_46.07_8.88,monte graddicioli 1936m per la cresta est e monte ferraro 1494m_46.07_8.88,0.9417165811570505
al monte gradiccioli per l infinita cresta est_46.07_8.88,monte lema poncione di breno rifugio dumenza_46.04_8.82,0.7270303858772461
al monte gradiccioli per l infinita cresta est_46.07_8.88,monte boglia da gandria_46.02_9,0.7142253849725205
al pojala_46.33_8.31,alpe forno inf una prima anche per me_46.34_8.29,0.7887733735594256
al pojala_46.33_8.31,quattro foto al devero_46.32_8.28,0.7634987515537874
al pojala_46.33_8.31,monte cazzola da alpe devero_46.31_8.24,0.723949890293267
al pojala_46.33_8.31,goglio alpe devero lago nero val buscagna_46.31_8.25,0.709963630499067
al pojala_46.33_8.31,alpe deccia musica in quota 1610 m_46.25_8.3,0.7065266919049208
al pojala_46.33_8.31,punta d orogna mt 2474_46.3_8.24,0.704937064050552
al rif locatelli attraverso una val fiscalina incantata_46.65_12.33,salsiccia di francoforte 2421m le parole hanno un significato_46.65_12.33,0.8515959927108707
al rif locatelli attraverso una val fiscalina incantata_46.65_12.33,wildgrabenjoch_46.66_12.32,0.7972228570154829
al rifugio barba ferrero m 2247_45.89_7.92,rifugio ferioli 2264m_45.87_7.95,0.8774174707777602
al rifugio barba ferrero m 2247_45.89_7.92,rifugio ferioli 2264m valsesia_45.88_7.98,0.7675372684454753
al rifugio barba ferrero m 2247_45.89_7.92,cima mutta 2135m valsesia_45.83_7.93,0.7355219951241966
al rifugio barba ferrero m 2247_45.89_7.92,palon di resy 2670 m_45.87_7.74,0.708099536425016
al rifugio barba ferrero m 2247_45.89_7.92,alpe cortenero valle anzasca_45.98_8.05,0.7065450003728906
al san martino sulla linea cadorna_45.93_8.76,forte di orino 1139 campo dei fiori_45.88_8.73,0.7264234306456236
al san primo col paolino_45.91_9.22,monte s primo_45.92_9.22,0.8777450092266065
al san primo col paolino_45.91_9.22,monte san primo 1686m_45.92_9.23,0.8319710564146091
al san primo col paolino_45.91_9.22,ritorno ai corni_45.86_9.31,0.757624335322913
al san primo col paolino_45.91_9.22,cornizzolo_45.85_9.3,0.7557262462123541
al san primo col paolino_45.91_9.22,palanzone anello da caglio_45.87_9.22,0.7358242997668506
al san primo col paolino_45.91_9.22,un inedito san primo_45.92_9.22,0.7267450706695546
al san primo col paolino_45.91_9.22,monte barro m 922 da ponte azzone visconti_45.84_9.38,0.7078889859695568
al san primo col paolino_45.91_9.22,bova scala di legno e capanna mara_45.83_9.2,0.7074775927104496
al sosto 2221 m non sosto_46.54_8.96,cima della bianca 2893mt una bella rivincita_46.57_8.88,0.8147413139387092
al sosto 2221 m non sosto_46.54_8.96,tre cime da 3000 m in meno di 7h pizzo del corvo 3015 m pizzo scopi 3190 m piz miez 3119 m_46.57_8.82,0.7691427025635108
al sosto 2221 m non sosto_46.54_8.96,verso la cima di garina dalla val camadra_46.57_8.93,0.7314507250774216
al vaccaro sulle orme del grandemago_45.9_9.87,m grem dalla val dossana_45.9_9.85,0.812411635324765
al vaccaro sulle orme del grandemago_45.9_9.87,cima di camplano cima di leten_45.9_9.85,0.7677705158989065
al vaccaro sulle orme del grandemago_45.9_9.87,anello pizzo di petto vigna vaga m avert cima benfit m timogno_45.98_9.98,0.722422562147372
alb belvedere campolaro bazena m frerone_45.93_10.38,monte stabio 2536 m_45.93_10.39,0.7337314946107382
alben due uomini in cresta per non parlare del ciclista_45.86_9.76,si sale con le nuvole e si scende col sole giornata all alben per l hikr s group_45.86_9.76,0.8715544012121377
alben due uomini in cresta per non parlare del ciclista_45.86_9.76,pizzo rabbioso m gioco_45.84_9.69,0.7430371274145049
albert heim hutte 2541 canton uri_46.6_8.46,goschenertal_46.65_8.52,0.7162184092385185
albert heim hutte 2541 canton uri_46.6_8.46,ferrata del diavolo_46.64_8.6,0.7094903246107486
albishorn 909m b rglen 915m hochwacht 878m_47.26_8.54,feierabend tour auf den etliberg_47.36_8.5,0.7581923184302883
albishorn 909m b rglen 915m hochwacht 878m_47.26_8.54,das erste mal auf dem etliberg im jahr 2018_47.36_8.5,0.7298862268549773
albrun aber anders_46.35_8.25,ritorno nella valle di binn_46.35_8.26,0.8002407340908626
albrun aber anders_46.35_8.25,devero lago di pojala_46.32_8.3,0.7924149146415411
albrun aber anders_46.35_8.25,val deserta devero_46.33_8.28,0.7242402427220057
albrun aber anders_46.35_8.25,monte corbernas 2578m punta della valle 2667m ring all alpe devero_46.33_8.3,0.7223319573190178
albrun aber anders_46.35_8.25,alpe devero albrunpass_46.34_8.29,0.7008653287828115
albrunpass_46.35_8.25,corbernas 2578m punta della valle 2667m_46.33_8.3,0.7876451075243902
albrunpass_46.35_8.25,bocchetta della valle al devero con rot_46.33_8.3,0.7859281010084626
albrunpass_46.35_8.25,val buscagna alpe devero_46.31_8.24,0.7619127379991317
aletschtour bettmeralp_46.39_8.05,letztes l rchengold und erster schneekontakt_46.31_7.91,0.7212083841421052
all acqua ried brig_46.48_8.44,nufenenstock 2866mt_46.47_8.4,0.7768565666344549
all acqua ried brig_46.48_8.44,cristallina 2912 m_46.47_8.55,0.7151116776255919
all acqua ried brig_46.48_8.44,see nr 18 blaubergseen furkapass blaubergseen blaubergpass_46.56_8.43,0.7030944196525375
alla baia di s fedelino sull antica via regina_46.21_9.41,san fedelino traversata da sorico a casenda_46.21_9.41,0.8204837807383479
alla capanna bardugh con vin brul_46.23_8.87,piano di cursgell 1524 m_46.24_8.83,0.8379428028493036
alla capanna bardugh con vin brul_46.23_8.87,gaggio 2267m_46.22_8.97,0.7405236997850457
alla capanna bardugh con vin brul_46.23_8.87,rifugio t r 1278 m_46.34_8.95,0.7151134042872869
alla capanna bardugh con vin brul_46.23_8.87,gaggio_46.22_8.97,0.7018567690422339
alla casa dei pagani per la via mong danicomo_45.88_8.99,tri b cc mendrisio la casa dei pagani_45.88_8.99,0.796984843665949
alla casa dei pagani per la via mong danicomo_45.88_8.99,casa dei pagani tentativo per la via lavizzari valsecchi_45.88_8.99,0.77654900258971
alla caviglia del sassariente_46.2_8.89,sassariente 1768 m e cima di sassello 1891 m_46.2_8.9,0.9027724759170949
alla caviglia del sassariente_46.2_8.89,sassariente 1768 m_46.2_8.9,0.7672826567072221
alla caviglia del sassariente_46.2_8.89,biwak am lago d orgnana oder die alte bergachtsamkeit_46.22_8.79,0.7058920858708762
alla caviglia del sassariente_46.2_8.89,sassariente 1768m cima di sassello 1890m_46.2_8.9,0.7057313528043502
alla caviglia del sassariente_46.2_8.89,pizzo di vogorno 2442 m dall alpe bardugh_46.24_8.88,0.7051697309719578
alla chiesetta di san calimero m 1493_45.96_9.43,rifugio buzzoni alpe mota_45.98_9.47,0.7564369953870633
alla chiesetta di san calimero m 1493_45.96_9.43,aria di grigna_45.94_9.42,0.7562223116574325
alla chiesetta di san calimero m 1493_45.96_9.43,da primaluna a san calimero un immersione nella nebbia_45.97_9.42,0.744577063058932
alla chiesetta di san calimero m 1493_45.96_9.43,monte magnodeno e cima del f_45.84_9.45,0.7412840345116307
alla chiesetta di san calimero m 1493_45.96_9.43,costa occidentale del monte san primo un altro anello_45.92_9.19,0.7085573813783999
alla chiesetta di san calimero m 1493_45.96_9.43,monte magnodeno 1241 m anello da erve_45.83_9.45,0.706060611377624
alla foppa del mercato il diavolo veste prada_45.83_10.29,rif s fermo rif laeng e m mignone up down in vallecamonica_45.97_10.19,0.7064723008464061
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,monte cavallo 2323_46.05_9.67,0.8436152117383154
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,cusio m avaro m tribortoi_46.01_9.6,0.8395873402578826
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,cima di piazzo 2057 m e sodadura 2010 m_45.94_9.52,0.7850165287889186
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,pizzo tre signori da pescegallo via normale_46.03_9.55,0.7841774762855547
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,cima fontane e monte pascaniello da ornica_46_9.56,0.7680980644365167
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,in tre per riscuotere il pizzo 2554 euro_46.03_9.55,0.7593022864998008
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,zuccone campelli 2161 m e cima di piazzo 2057 m_45.94_9.52,0.7215446542705841
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,val d ancogno sodadura stradini rif lecco ceresola_45.96_9.54,0.7199203569487147
alla ricerca del selvadego sul confine bergamasco_46.03_9.58,torcole e dintorni_45.98_9.71,0.7082512516471675
alla ricerca dell alpe forno superiore devero_46.34_8.28,bocchetta d arbola 2409 m_46.34_8.29,0.8293042065895508
alla ricerca dell alpe forno superiore devero_46.34_8.28,binntalh tte 2269 m via d vero_46.34_8.28,0.7378580286223653
alla scoperta del territorio dalla maroggia_46.19_9.69,culmine di campo_46.15_9.66,0.7169774064098576
alla scoperta della val bognanco verosso mattaroni tirone_46.16_8.17,pizzo pioltone 2612 m_46.16_8.18,0.794523279306847
alla scoperta della val bognanco verosso mattaroni tirone_46.16_8.17,pizzo del rovale 2456 m_46.17_8.2,0.7291949598877545
alla scoperta della val bognanco verosso mattaroni tirone_46.16_8.17,ber die grenze_46.15_8.14,0.7041165619097116
alla scoperta di monte isola_45.7_10.08,una bellavista sat n sul monte alto_45.64_9.98,0.7630911862510567
allg uer wandertrilogie etappe 17 blockh usle bolsternang_47.7_10.15,allg uer wandertrilogie etappe 18 durach blockh usle_47.71_10.27,0.761309342027175
allg uer wandertrilogie etappe 36 oberstaufen oberreute_47.56_9.99,westallg u im land der kapfe_47.61_10.03,0.8103853981808598
allg uer wandertrilogie etappe 36 oberstaufen oberreute_47.56_9.99,nach scheidegg und rund um lindenberg_47.6_9.89,0.7755314694320399
almwanderung zum pasterkopf_47.7_12.21,pasterkopf_47.7_12.21,0.8581924058261011
almwanderung zum pasterkopf_47.7_12.21,durch den klausgraben zur dalsenalm_47.73_12.32,0.8295503792071754
almwanderung zum pasterkopf_47.7_12.21,rosenmontagstour vom tatzelwurm richtung asten_47.69_12.1,0.7230527018111976
almwanderung zum pasterkopf_47.7_12.21,aschermittwochsausflug auf den brennkopf m rz 2017_47.67_12.3,0.7025945697340364
alp flix kanonensattel murt r_46.5_9.64,fuorcla da tschitta 2831mt engadina capricciosa_46.59_9.74,0.7043726390672107
alp gr m pru dal vent stazione ospizio bernina_46.39_10.03,mit freunden zum piz campasc 2599 m_46.4_10.03,0.8586915908347954
alp gr m pru dal vent stazione ospizio bernina_46.39_10.03,aufw rmtour zum piz campasc 2599 m_46.4_10.03,0.8370707495775348
alp gr m pru dal vent stazione ospizio bernina_46.39_10.03,wo sind die gletscherm hlen in cavaglia_46.38_10.03,0.7532633883386834
alp gr m pru dal vent stazione ospizio bernina_46.39_10.03,am tor des morteratschgletschers_46.44_9.94,0.744535891654741
alp gr m pru dal vent stazione ospizio bernina_46.39_10.03,eine goldene wanderung zum aussichtspunkt chap tsch l_46.45_9.96,0.7022962599812641
alp sigel 1769 m punkt ivo_47.29_9.45,alp sigel 1769m ber die zahme gocht_47.29_9.45,0.9524923391144693
alp sigel 1769 m punkt ivo_47.29_9.45,alp sigel 1769m_47.29_9.46,0.8636443130901572
alp sigel 1769 m punkt ivo_47.29_9.45,seealpsee scher ebenalp_47.28_9.41,0.8524996976161489
alp sigel 1769 m punkt ivo_47.29_9.45,hoher kasten von s dosten zum sonnenuntergang_47.28_9.49,0.7998388597671766
alp sigel 1769 m punkt ivo_47.29_9.45,hoher kasten_47.3_9.49,0.7737504037143813
alp sigel 1769 m punkt ivo_47.29_9.45,br lisau bis bollenwees_47.27_9.44,0.738237951790996
alp sigel 1769 m punkt ivo_47.29_9.45,meglisalp bis ebenalp via ageteplatte und sch fler_47.27_9.39,0.7354905285354802
alp sigel 1769 m punkt ivo_47.29_9.45,bollenwees bis gampl t via roslen saxer first_47.23_9.38,0.7023499510846688
alp sigel 1769m ber die zahme gocht_47.29_9.45,seealpsee scher ebenalp_47.28_9.41,0.8540591963646831
alp sigel 1769m ber die zahme gocht_47.29_9.45,alp sigel 1769m_47.29_9.46,0.8307723223058417
alp sigel 1769m ber die zahme gocht_47.29_9.45,hoher kasten von s dosten zum sonnenuntergang_47.28_9.49,0.8023641228251736
alp sigel 1769m ber die zahme gocht_47.29_9.45,hoher kasten_47.3_9.49,0.7939649954247288
alp sigel 1769m ber die zahme gocht_47.29_9.45,br lisau bis bollenwees_47.27_9.44,0.7559891118110004
alp sigel 1769m ber die zahme gocht_47.29_9.45,meglisalp bis ebenalp via ageteplatte und sch fler_47.27_9.39,0.7509840176816961
alp sigel 1769m ber die zahme gocht_47.29_9.45,bollenwees bis gampl t via roslen saxer first_47.23_9.38,0.7126716291554792
alp sigel 1769m_47.29_9.46,hoher kasten von s dosten zum sonnenuntergang_47.28_9.49,0.7922031286811433
alp sigel 1769m_47.29_9.46,seealpsee scher ebenalp_47.28_9.41,0.7662771186688558
alp sigel 1769m_47.29_9.46,alp sigel_47.28_9.46,0.7651043191150588
alp sigel 1769m_47.29_9.46,l cken tour im alpstein_47.27_9.45,0.7208188056199735
alp sigel 1769m_47.29_9.46,hoher kasten_47.3_9.49,0.7056468747369558
alp sigel ber den s dgrat_47.28_9.44,genusskraxeln auf dem grauchopf 2218m_47.25_9.33,0.748493795752694
alp sigel und bogartenfirst_47.27_9.45,bogartenfirst_47.28_9.45,0.8520439427866047
alp sigel und bogartenfirst_47.27_9.45,mutschen und kreuzberg viii_47.22_9.38,0.8096358447564845
alp sigel und bogartenfirst_47.27_9.45,wagenl ckenspitze_47.27_9.39,0.7635266142040389
alp sigel und bogartenfirst_47.27_9.45,freiheit_47.27_9.43,0.7465043399599384
alp sigel und bogartenfirst_47.27_9.45,graskraxeln am l tispitz_47.24_9.3,0.7302712008167087
alp sigel und bogartenfirst_47.27_9.45,marwees und hundstein_47.27_9.43,0.7025294642335975
alp sigel und borgartenfirst_47.28_9.44,hundstein 2157m herbstliche berschreitung_47.27_9.43,0.8244070886241387
alp sigel und borgartenfirst_47.28_9.44,h enerberg 2312m im sp tsommer_47.26_9.34,0.7856440882933831
alp sigel und borgartenfirst_47.28_9.44,gloggeren via nadle zur marwees_47.27_9.42,0.7364242228112277
alp sigel und borgartenfirst_47.28_9.44,gamsberg ostgipfel 2360m via kamin aka gleis_47.15_9.38,0.7262692303181844
alp sigel und borgartenfirst_47.28_9.44,bogartenfirst_47.28_9.45,0.7016850982862709
alp sigel_47.28_9.46,kamor 1751m hoher kasten 1794m und s mtisersee_47.29_9.48,0.7673037943974498
alp sigel_47.28_9.46,sch fler_47.28_9.41,0.7560719145866962
alpe b ttelmat 2 112m invernale da riale_46.43_8.39,rifugio citt di busto per la bettelmat skyrace_46.43_8.39,0.7500025780862153
alpe barcelona 1170 m_45.87_9.05,monte bisbino 1325 m via piazzola_45.87_9.05,0.9148081858970413
alpe barcelona 1170 m_45.87_9.05,anello di moltrasio basso lario_45.86_9.09,0.872502169232406
alpe barcelona 1170 m_45.87_9.05,roccolo di pianspessa 1035 m e muggiasca 951 m_45.91_9.03,0.8551362091489222
alpe barcelona 1170 m_45.87_9.05,pizzo della croce o monte crocione 1491 m dalla valle di muggio_45.93_9.05,0.8496993125080343
alpe barcelona 1170 m_45.87_9.05,faro di san maurizio brunate da como notturna_45.82_9.09,0.7758246663823077
alpe barcelona 1170 m_45.87_9.05,anello cabbio rifugio prabello uggine cabbio_45.9_9.06,0.771632731282526
